id,ACTION
1,0.04560278284958244
2,1
3,1
4,0.9999771689497717
5,0.9999949494949495
6,0.9228333333333334
7,0.8990427517682771
8,1
9,0.47033372003500373
10,0.9917786896474784
11,0.9944865357854545
12,0.9175034877439808
13,0.9802879075477199
14,0.9393107063669147
15,0.8796975686763645
16,0.995914765762416
17,0.9513700494069801
18,0.8969419719985519
19,1
20,0.9988253043971211
21,0.9997861134109071
22,1
23,0.9945615806097097
24,0.993635276669819
25,1
26,0.9529448901065308
27,0.9809051888389978
28,0.15357131537872606
29,0.9209237102889892
30,0.9785718461087695
31,0.9837339138660859
32,0.9892824370549512
33,0.8907606803880225
34,0.990897893668066
35,0.9960194428233767
36,0.9999396396396396
37,0.915359340297384
38,0.99375
39,0.8931990862867626
40,0.7093003480996879
41,0.9977415524978455
42,0.9875424908424908
43,0.7900192881355618
44,0.9951680152739114
45,0.9571474801134263
46,0.9995706672913068
47,0.9999622641509434
48,0.9953496989119347
49,0.9950921615837347
50,0.9817364395869831
51,0.936956609099609
52,0.9566129424235689
53,0.8670158897137822
54,1
55,0.9438024141074998
56,0.7470046496661789
57,0.982850099655607
58,0.999978494623656
59,0.9852222492354645
60,0.9924883207070708
61,1
62,0.94730016314983
63,0.9934719200354315
64,0.9997537678169018
65,0.9889217713049469
66,0.9798312523122458
67,0.9891965619267784
68,0.9999948186528498
69,0.8459843916402277
70,0.2631941858492418
71,0.4008728258210033
72,0.9991851851851852
73,1
74,0.9963387634538023
75,0.9996840006375896
76,0.9939269841269842
77,0.9923418441589842
78,0.06900817036044536
79,0.06265642047914692
80,0.998507458450142
81,1
82,0.9956686778645449
83,0.9801039829889132
84,0.9997358585858587
85,0.9975556064131483
86,0.9775058989721781
87,0.9776973337722186
88,0.9989018577854991
89,1
90,0.9138989926739925
91,0.9188963747217165
92,0.6229598088576628
93,1
94,0.8708227820993183
95,0.9995259776388169
96,0.9995689615011926
97,0.556904651555619
98,0.9952176075166114
99,0.9947734204793028
100,0.993
101,0.922513931407252
102,0.6860354103781838
103,0.9693412275872035
104,0.9700695306549292
105,0.02243074321748456
106,0.8701859204809637
107,1
108,0.6615213540207784
109,0.9980794167704033
110,0.9954762515750285
111,0.8058562053756249
112,0.9910307476370626
113,0.9890701228289501
114,1
115,0.8414034229733405
116,0.9949041028426919
117,0.9896782175405251
118,0.9903077636649065
119,1
120,0.996607125497943
121,0.8747509702148588
122,0.9529505856888209
123,0.9830181736292785
124,0.9232610898964237
125,0.9955
126,0.8717968578805104
127,0.9223823543975634
128,0.9080180287441845
129,0.9879824237011736
130,0.9907763040169109
131,0.995887617874169
132,0.9570016781215768
133,0.9957181118844949
134,0.9697179201738871
135,1
136,0.7977681295907705
137,0.9986601415319318
138,0.994898141320028
139,0.5628548966372062
140,0.9999454545454546
141,0.9420104012209629
142,0.8140945759195989
143,0.9992727272727272
144,0.9999948186528498
145,1
146,0.8091054961113341
147,0.9653501676963915
148,0.8886563591455334
149,1
150,0.9996690553300441
151,0.9996190436921569
152,0.9442657588369661
153,0.9973950095342673
154,0.29569935898766503
155,0.9871288398577487
156,0.7299856934656874
157,0.9807512637402838
158,0.9746469179163939
159,0.9400060210381761
160,0.9804374612593427
161,0.15083937447479862
162,0.8953251259345434
163,0.992346103896104
164,0.9897070780919867
165,0.9980563117516998
166,0.9969090909090909
167,0.7804070424491294
168,0.9976133661882121
169,0.9880665796163683
170,0.9992434653524238
171,0.9612083333333332
172,0.9925416666666667
173,0.9980373856651344
174,0.98203505178625
175,0.9964912254901962
176,0.9985
177,0.6630202210231351
178,0.9954105769230769
179,0.9996871424959534
180,0.9653501676963915
181,0.16372189696740477
182,0.9907763040169109
183,0.9535258699136884
184,0.4569221308866319
185,0.981119197707055
186,0.7877215439694596
187,0.9952635281871639
188,0.9699496993754974
189,0.12261773378338767
190,0.9911518699867222
191,1
192,0.9895689615011926
193,0.9999255054750956
194,0.9892894736842105
195,0.9925020842749669
196,0.9997393654524089
197,0.99995
198,0.8246821302159271
199,0.9936145401767345
200,0.05378132518480631
201,0.953176965441847
202,0.5707346271312577
203,0.9891922882587386
204,0.6464713003818019
205,0.9503818831502451
206,0.9938305338091324
207,0.9934821623580156
208,0.7821556083541283
209,0.37492134489573853
210,0.7587570243767363
211,0.9646964785214783
212,0.9993148394241417
213,1
214,0.9843842161086509
215,0.998877914364214
216,0.2934083681304152
217,0.9349528213957436
218,0.9215
219,0.975
220,0.9968100505199808
221,0.6154857554629735
222,0.999992
223,0.9778433333333333
224,0.929950401304643
225,0.994356921266581
226,0.1538008976485285
227,0.8105663182461182
228,0.9777857095512845
229,1
230,0.9918860181243092
231,0.41855036207879404
232,0.7208829268753563
233,0.9974879400501458
234,0.06012193861962776
235,0.7964321897690175
236,0.8996646394993665
237,0.9991900506811606
238,0.9847927506588308
239,0.9921545796507303
